,軸,質問,性質A,選択肢Ａ,性質B,選択肢Ｂ
,【E（外交型） vs I（内向型）】,待ちに待った休日、あなたの理想の過ごし方は？,E,友達を誘って話題のバーやイベントに出かける！,I,お気に入りのカフェや自宅の作業部屋で、静かに過ごす。
,,新しいプロジェクトや、やったことのない趣味を始めるときは？,E,まずはいろんな人に話を聞いたり、コミュニティに参加して巻き込まれてみる。,I,まずは1人でじっくり調べて、自分の中で見通しが立ってから行動する。
,,自分のエネルギーが一番「充電」されると感じる瞬間は？,E,賑やかな場所で人と笑い合ったり、熱量のあるイベントに参加したとき。,I,誰にも邪魔されない静かな空間で、ひっそりと心と体を休めているとき。
,【S（感覚型） vs N（直感型）】,モノづくりやデザインをするとき、あなたが一番ワクワクするポイントは？,S,素材の手触りやミリ単位の精密さなど、細部をコツコツ作り込んでいくとき。,N,今までにない新しいアイデアや、抽象的でユニークなコンセプトを閃いたとき。
,,誰かに何かを説明するとき、あなたの話し方に近いのは？,S,事実やデータ、具体的なステップを順序立ててリアルに伝える。,N,全体のイメージや可能性、例え話（メタファー）を使ってドラマチックに伝える。
,,旅行の計画を立てるとき、重視するのはどっち？,S,現地の美味しいお店や名所など、実際に体験できる確実なスポットを調べる。,N,まだ見ぬ未知の景色や、誰も知らないマニアックな隠れ家を探す冒険感。
,【T（思考型） vs F（感情型）】,友人から「仕事（または活動）で行き詰まっている」と相談されたら、まずどうする？,T,原因を冷静に分析し、どうすれば解決できるか具体的な改善策をロジカルに考える。,F,まずは相手の気持ちに寄り添い、辛い心境を優しく受け止めて共感する。
,,何か重要な決断を迫られたとき、あなたが最終的に信じるのは？,T,感情を抜きにして、データや状況から導き出した「客観的な正しさ」。,F,自分や周囲の人たちが納得できるか、大切にしたい「ポリシーや調和」。
,,人から褒められて一番嬉しい言葉はどっち？,T,「有能だね」「クオリティが本当に高い」「ロジックが完璧」,F,「センスが良いね」「一緒にいると安心する」「いつも気遣ってくれてありがとう」
,【J（判断型） vs P（知覚型）】,やるべきタスクや仕事があるとき、あなたの進め方は？,J,最初にスケジュールや目標をカチッと決めて、計画通りにコツコツ進めたい。,P,その時の気分や締切の直前のエネルギーで、一気に集中して柔軟に進めたい。
,,部屋の模様替えや、仕事環境（デスク周り）の理想の状態は？,J,定位置がすべて決まっていて、無駄なものがなく綺麗に整理整頓されている状態。,P,多少ごちゃっとしていても、自分の好きなものに囲まれていて自由に変えられる状態。
,,急な予定変更や、予測不可能なトラブルが起きたときのあなたの反応は？,J,計画が狂うと少しモヤっとする。早く新しい予定を組み直して安心したい。,P,「まあ、なんとかなるか」と、その場の状況に合わせて臨機応変に楽しむ。
